Date,Open,High,Low,Close,Adj Close,Volume
1/2/2020,41.092484,41.845215,40.971882,41.566578,33.846729,2973654
1/3/2020,41.296261,41.362801,40.302322,40.813847,33.233799,4014262
1/6/2020,40.202515,40.593433,39.703465,40.593433,33.054317,3441396
1/7/2020,40.797215,41.208927,40.680767,40.917816,33.318455,2816618
1/8/2020,40.589275,41.167339,40.489468,41.146545,33.504704,2659070
1/9/2020,41.504196,41.712135,41.292103,41.321213,33.646935,3098476
1/10/2020,41.46677,41.508358,41.050896,41.113277,33.477615,3130777
1/13/2020,41.254673,41.254673,40.356388,40.668293,33.115273,3089806
1/14/2020,40.643341,40.897022,40.148449,40.302322,32.817272,4170529
1/15/2020,40.302322,40.30648,39.212734,39.291752,31.994387,5857810
1/16/2020,39.333336,39.466415,38.726162,38.988163,31.747185,4517609
1/17/2020,39.366608,39.516323,38.809338,38.83429,31.621889,4582967
1/20/2020,38.680416,38.913303,38.439209,38.73032,31.537226,2802010
1/21/2020,38.493271,38.904987,38.218796,38.593082,31.425476,3320743
1/22/2020,38.722004,39.599495,37.557556,37.773811,30.758364,8999759
1/23/2020,37.432793,37.765491,36.788189,36.95454,30.091251,5682839
1/24/2020,37.062668,37.18327,36.38895,36.546982,29.759386,5996104
1/27/2020,36.039616,36.122791,35.257774,35.411648,28.834906,6571183
1/28/2020,35.507298,36.164379,35.033203,36.00219,29.315771,6708750
1/29/2020,36.139427,36.372314,35.827522,36.110317,29.403816,3965600
1/30/2020,35.740189,36.085361,35.469872,35.590473,28.98052,3977028
1/31/2020,35.636219,35.731873,34.658916,34.771202,28.313406,6017511
2/3/2020,34.829426,34.920918,34.446819,34.617329,28.188112,4874196
2/4/2020,34.808632,35.399174,34.613171,35.224506,28.682522,4197249
2/5/2020,35.26609,36.642635,35.037361,36.642635,29.837271,7289595
2/6/2020,37.046032,37.328827,36.605206,36.659267,29.850815,4471882
2/7/2020,36.497078,36.497078,35.532249,35.669491,29.044861,5351345
2/10/2020,35.756824,36.235077,35.494823,35.80257,29.153227,4438165
2/11/2020,37.05851,37.233173,35.270252,35.461552,28.875544,9279666
2/12/2020,35.44492,36.713333,35.432442,36.592728,29.796633,5981323
2/13/2020,36.014664,36.372314,35.611267,35.968918,29.288679,5057287
2/14/2020,35.931492,36.609364,35.79425,35.819202,29.166769,3901916
2/17/2020,36.347363,36.788189,36.172695,36.326569,29.579906,3431491
2/18/2020,35.848316,35.943966,35.324314,35.324314,28.763792,4942339
2/19/2020,35.503139,35.640381,35.004093,35.573837,28.966972,3754859
2/20/2020,35.490665,36.854729,35.182919,36.384792,29.627316,7037589
2/21/2020,36.106155,36.538666,35.020725,35.428284,28.848454,7961935
2/24/2020,34.371964,34.463455,32.874817,33.041168,26.904678,12125682
2/25/2020,33.369709,33.448723,32.413197,32.854023,26.752291,8358050
2/26/2020,32.646088,33.506947,31.835135,33.423771,27.216225,9711085
2/27/2020,32.61282,32.949677,31.905832,32.305073,26.305294,9454676
2/28/2020,30.911894,31.45669,30.541767,31.223799,25.424835,14626473
3/2/2020,31.606403,31.785229,30.358782,30.882784,25.147154,9081850
3/3/2020,31.240435,31.739483,30.30472,30.500179,24.835609,10495161
3/4/2020,30.637417,31.356878,30.30056,31.298656,25.48579,7911854
3/5/2020,31.373514,31.42342,30.005289,30.105099,24.513903,7427867
3/6/2020,29.327415,29.660114,28.345953,28.994717,23.609745,12228943
3/9/2020,26.782269,26.794744,24.994011,25.097979,20.43672,18649227
3/10/2020,25.713472,27.327063,25.085503,25.513853,20.775358,14755257
3/11/2020,26.008743,26.90703,25.351662,25.72179,20.944674,10554718
3/12/2020,24.436741,24.657152,20.864386,20.872702,16.99617,24436875
3/13/2020,22.082895,24.212168,20.78121,21.334322,17.372059,24212379
3/16/2020,19.961939,20.248892,18.444,19.06365,15.523101,17741977
3/17/2020,20.003527,20.71051,17.88257,20.25305,16.491604,16269640
3/18/2020,19.284065,19.849653,17.820189,18.364985,14.954192,12449752
3/19/2020,18.298445,19.225842,17.479174,18.165363,14.791645,13842283
3/20/2020,19.130192,19.903715,18.839081,18.859873,15.357171,20035159
3/23/2020,18.061396,19.541906,17.857618,19.13435,15.580669,14638267
3/24/2020,20.544163,24.353565,20.381971,24.353565,19.830561,16260714
3/25/2020,25.32671,26.532743,23.555088,24.756964,20.159039,18199555
3/26/2020,24.045818,24.607248,23.014452,24.607248,20.037128,13358554
3/27/2020,23.896105,24.237122,22.436386,22.623531,18.421833,10618328
3/30/2020,22.727499,23.101786,21.850004,22.627689,18.425219,7997146
3/31/2020,22.906324,23.933533,22.178547,22.88969,18.638559,8429481
